Accession	Length	Clade	Isolate	loc	Collection_Date	Host	clade_simple	fragment	cluster
KX148160	11801	AL_Cosmopolitan_CA3	92015HON	Hungary	1991	Homo sapiens	Cosmopolitan_Clade	WGS	5102
KX148161	11801	AL_Cosmopolitan_YUGFOX	86133SER	Serbia	1972	Vulpes vulpes	Cosmopolitan_Clade	WGS	0
KX148173	11801	AL_Cosmopolitan_ME1a	97139ARS	Saudi Arabia	1997	Vulpes vulpes	Cosmopolitan_Clade	WGS	0
KX148192	11802	AL_Cosmopolitan_ME1b	93033ISR	Israel	1993	Canis familiaris	Cosmopolitan_Clade	WGS	5094
KX148194	11805	AL_Cosmopolitan_AF1a	89017MAR	Morocco	1989	Canis familiaris	Cosmopolitan_Clade	WGS	0
KX148196	11804	AL_Cosmopolitan_AF1a	90016MAR	Morocco	1990	Canis familiaris	Cosmopolitan_Clade	WGS	0
KX148198	11804	AL_Cosmopolitan_AF1a	93128SOM	Somalia	1993	Canis familiaris	Cosmopolitan_Clade	WGS	5371
KX148201	11805	AL_Cosmopolitan_AF1a	86003BRE	Nigeria	1986	Canis familiaris	Cosmopolitan_Clade	WGS	0
KX148203	11801	AL_Cosmopolitan_AF1b	86031MOZ	Mozambique	1986	Canis familiaris	Cosmopolitan_Clade	WGS	0
KX148204	11800	AL_Cosmopolitan_AF1b	92030NAM	Namibia	1992	Canis familiaris	Cosmopolitan_Clade	WGS	0
KX148206	11801	AL_Cosmopolitan_AF1b	96013TAN	Tanzania	1996	Canis familiaris	Cosmopolitan_Clade	WGS	0
KX148207	11801	AL_Cosmopolitan_AF1b	14015ITA	Kenya	2014	Homo sapiens	Cosmopolitan_Clade	WGS	0
KX148208	11802	AL_Cosmopolitan_AF1b	92029CAR	Central African Republic	1992	Canis familiaris	Cosmopolitan_Clade	WGS	0
KX148211	11801	AL_Cosmopolitan_AF1c	86046MAD	Madagascar	1986	Canis familiaris	Cosmopolitan_Clade	WGS	6451
KX148215	11803	AL_Cosmopolitan_AM3a	95022BRE	Brazil	1995	Canis familiaris	Cosmopolitan_Clade	WGS	5078
KX148217	11804	AL_Cosmopolitan_AM3b	86123BRE	Brazil	1986	Canis familiaris	Cosmopolitan_Clade	WGS	5076
KX148225	11806	AL_Arctic_AL1b	02052AFG	Afghanistan	2002	Canis familiaris	Arctic_Clade	WGS	4927
KX148227	11806	AL_Arctic_AL1b	04029AFG	Afghanistan	2004	Canis familiaris	Arctic_Clade	WGS	0
KX148228	11810	AL_Arctic_AL3	99001NEP	Nepal	1998	Canis familiaris	Arctic_Clade	WGS	4920
KX148229	11801	AL_Africa-2	90012NIG	Niger	1990	Canis familiaris	AL_Africa-2	WGS	0
KX148231	11801	AL_Africa-2	90010NIG	Niger	1990	Canis familiaris	AL_Africa-2	WGS	0
KX148235	11801	AL_Africa-2	01007CI	Côte d'Ivoire	2001	Canis familiaris	AL_Africa-2	WGS	0
KX148236	11802	AL_Africa-2	93011MAU	Mauritania	1993	Canis familiaris	AL_Africa-2	WGS	0
KX148241	11801	AL_Africa-2	96009TCH	Chad	1996	Canis familiaris	AL_Africa-2	WGS	0
KX148242	11801	AL_Africa-2	95002CAM	Cameroon	1994	Canis familiaris	AL_Africa-2	WGS	0
KX148257	11802	AL_Asian_SEA3	02005LAO	Lao	2002	Canis familiaris	Asian_Clade	WGS	4195
KX148264	11800	AL_Asian_SEA2a	02046CHI	China	1994	Canis familiaris	Asian_Clade	WGS	4202
KU564985	1353	AL_Africa-2	352	Chad	2012	Canis familiaris	AL_Africa-2	N	4411
KU564993	1353	AL_Africa-2	367	Chad	2013	Canis familiaris	AL_Africa-2	N	0
KU055515	211	AL_Cosmopolitan_AF1a	03009MAR	Morocco	2003	Canis familiaris	Cosmopolitan_Clade	L	0
KU055517	211	AL_Cosmopolitan_AF1a	04028GAB	Gabon	2004	Felis catus	Cosmopolitan_Clade	L	0
KU055521	211	AL_Africa-2	07149RCA	Central African Republic	2004	Canis familiaris	AL_Africa-2	L	0
KU055522	211	AL_Cosmopolitan_AF1b	07158RCA	Central African Republic	2006	Canis familiaris	Cosmopolitan_Clade	L	6734
KU055524	211	AL_Africa-2	07209SEN	Senegal	2007	Homo sapiens	AL_Africa-2	L	0
KU055525	211	AL_Africa-2	07214MAL	Mali	2007	Canis familiaris	AL_Africa-2	L	0
KU055526	211	AL_Africa-2	07222MAL	Mali	2007	Canis familiaris	AL_Africa-2	L	0
KU055527	211	AL_Africa-2	14010SEN	Senegal	2001	Homo sapiens	AL_Africa-2	L	4208
KU055528	211	AL_Africa-2	14011SEN	Senegal	2004	Felis catus	AL_Africa-2	L	4229
KU055529	211	AL_Africa-2	14012SEN	Senegal	2005	Homo sapiens	AL_Africa-2	L	0
KU055530	211	AL_Africa-2	14013SEN	Senegal	2011	Canis familiaris	AL_Africa-2	L	0
KU055532	211	AL_Africa-3	14016BOT	Botswana	2009	Felis catus	AL_Africa-3	L	5022
KU055538	211	AL_Africa-2	8636HAV	Burkina Faso	1986	Canis familiaris	AL_Africa-2	L	4808
KU055539	211	AL_Africa-2	8660GUI	Guinea	1986	Canis familiaris	AL_Africa-2	L	0
KU055542	211	AL_Africa-2	8718NIG	Niger	1987	Homo sapiens	AL_Africa-2	L	0
KU055547	211	AL_Africa-2	8804CAM	Cameroon	1988	Felis catus	AL_Africa-2	L	4363
KU055550	211	AL_Africa-2	9012NIG	Nigeria	1992	Canis familiaris	AL_Africa-2	L	0
KU055552	211	AL_Africa-2	9024GUI	Guinea	1990	Canis familiaris	AL_Africa-2	L	0
KU055555	211	AL_Africa-2	9131MAU	Mauritania	1991	Canis familiaris	AL_Africa-2	L	0
KU055556	211	AL_Africa-2	9136MAU	Mauritania	1991	Capra hircus	AL_Africa-2	L	0
KU055562	211	AL_Africa-2	9239IC	Côte d'Ivoire	1992	Canis familiaris	AL_Africa-2	L	0
KP976113	548	AL_Africa-2	420/2006	Mali	2006	Canis lupus familiaris	AL_Africa-2	N	0
KP976120	548	AL_Africa-2	628/2011	Mali	2011	Canis lupus familiaris	AL_Africa-2	N	4823
KP976121	548	AL_Africa-2	176/2010	Mali	2010	Canis lupus familiaris	AL_Africa-2	N	0
KP976129	548	AL_Africa-2	587/2009	Mali	2009	Canis lupus familiaris	AL_Africa-2	N	4701
KR906734	11923	AL_Cosmopolitan_AF1b	RV2495.1	Tanzania	2008	Canis familiaris	Cosmopolitan_Clade	WGS	6615
KR906735	11903	AL_Cosmopolitan_AF1b	RV2498.1	Tanzania	2008	Canis familiaris	Cosmopolitan_Clade	WGS	0
KR906736	11923	AL_Cosmopolitan_AF1b	RV2499.1	Tanzania	2008	Canis familiaris	Cosmopolitan_Clade	WGS	0
KR906738	11923	AL_Cosmopolitan_AF1b	RV2501.1	Tanzania	2004	Bos taurus	Cosmopolitan_Clade	WGS	0
KR906743	11914	AL_Cosmopolitan_AF1b	RV2770.1	Tanzania	2010	Canis familiaris	Cosmopolitan_Clade	WGS	0
KR906745	11914	AL_Cosmopolitan_AF1b	RV2773.1	Tanzania	2010	Canis familiaris	Cosmopolitan_Clade	WGS	0
KR906749	11878	AL_Cosmopolitan_AF1b	RV2777.1	Tanzania	2010	Canis familiaris	Cosmopolitan_Clade	WGS	0
KR906752	11923	AL_Cosmopolitan_AF1b	RV2782.1	Tanzania	2011	Canis familiaris	Cosmopolitan_Clade	WGS	6504
KR906757	11890	AL_Cosmopolitan_AF1b	RV2807.1	Tanzania	2010	Canis familiaris	Cosmopolitan_Clade	WGS	7538
KR906759	11829	AL_Cosmopolitan_AF1b	RV2809.1	Tanzania	2010	Canis familiaris	Cosmopolitan_Clade	WGS	0
KR906761	11845	AL_Cosmopolitan_AF1b	RV2811.1	Tanzania	2010	Canis familiaris	Cosmopolitan_Clade	WGS	0
KR906765	11923	AL_Cosmopolitan_AF1b	RV2816.1	Tanzania	2010	Canis familiaris	Cosmopolitan_Clade	WGS	6697
KR906766	11914	AL_Cosmopolitan_AF1b	RV2817.1	Tanzania	2010	Canis familiaris	Cosmopolitan_Clade	WGS	0
KR906769	11923	AL_Cosmopolitan_AF1b	RV2871.1	Tanzania	2011	Canis familiaris	Cosmopolitan_Clade	WGS	0
KR906775	11854	AL_Cosmopolitan_AF1b	RV2902.1	Tanzania	2011	unknown	Cosmopolitan_Clade	WGS	0
KR906781	11923	AL_Cosmopolitan_AF1b	RV3107.1	Tanzania	2012	unknown	Cosmopolitan_Clade	WGS	6860
KR906783	11923	AL_Cosmopolitan_AF1b	RV3117.1	Tanzania	2012	Canis familiaris	Cosmopolitan_Clade	WGS	6799
KR906786	11923	AL_Cosmopolitan_AF1b	RV3128.1	Tanzania	2012	Sus scrofa	Cosmopolitan_Clade	WGS	0
KP994614	540	AL_Cosmopolitan_AF1b	13/339	South Africa	2013	Canis familiaris	Cosmopolitan_Clade	N	7855
KP994618	540	AL_Cosmopolitan_AF1b	08/426	South Africa	2008	Felis catus	Cosmopolitan_Clade	N	7765
KP994621	540	AL_Cosmopolitan_AF1b	07/30	South Africa	2007	Felis catus	Cosmopolitan_Clade	N	7836
LN879481	11922	AL_Cosmopolitan_WE		Germany	1998	Vulpes vulpes	Cosmopolitan_Clade	WGS	0
KU739038	1575	AL_Africa-2	G_139BF-2007	Burkina Faso	2007	Canis familiaris	AL_Africa-2	G	0
KU739039	1575	AL_Africa-2	G_9BF-2007	Burkina Faso	2007	Canis familiaris	AL_Africa-2	G	0
KU739040	1575	AL_Cosmopolitan_AF1b	G_3580BOT-2009	Botswana	2009	Canis familiaris	Cosmopolitan_Clade	G	0
KU739042	1575	AL_Africa-2	G_2019MAU-2006	Mauritania	2006	Canis familiaris	AL_Africa-2	G	0
KU739043	1575	AL_Africa-2	G_251NIG-2007	Niger	2007	Canis familiaris	AL_Africa-2	G	0
KU739044	1575	AL_Cosmopolitan_AF1a	G_20958SPA-2010	Spain	2010	Canis familiaris	Cosmopolitan_Clade	G	0
KT119637	5055	AL_Cosmopolitan_AF1b	07131RCA_2003_090	Central African Republic	2003	Canis familiaris	Cosmopolitan_Clade	N	6988
KT119647	5052	AL_Cosmopolitan_AF1b	othercity_07141RCA_2003_526	Central African Republic	2003	Canis familiaris	Cosmopolitan_Clade	N	7014
KT119650	5052	AL_Cosmopolitan_AF1b	07144RCA_2003_841	Central African Republic	2003	Canis familiaris	Cosmopolitan_Clade	N	0
KT119655	5052	AL_Cosmopolitan_AF1b	07150RCA_2004_705	Central African Republic	2004	Canis familiaris	Cosmopolitan_Clade	N	6990
KT119746	5052	AL_Cosmopolitan_AF1b	09055RCA_2009_627	Central African Republic	2009	Canis familiaris	Cosmopolitan_Clade	N	7030
KT119753	5052	AL_Cosmopolitan_AF1b	othercity_11032RCA_2011_559	Central African Republic	2011	Canis familiaris	Cosmopolitan_Clade	N	7019
KT119766	5052	AL_Africa-2	othercity_09042RCA_2009_266	Central African Republic	2009	Canis familiaris	AL_Africa-2	N	4323
KT119767	5054	AL_Africa-2	othercity_09057RCA_2009_674	Central African Republic	2009	Canis familiaris	AL_Africa-2	N	0
KT119771	5054	AL_Cosmopolitan_AF1a	8693GAB_1986_211	Gabon	1986	Canis familiaris	Cosmopolitan_Clade	N	5125
KT119772	5054	AL_Cosmopolitan_AF1a	8698GAB_1986_392	Gabon	1986	Canis familiaris	Cosmopolitan_Clade	N	0
KT119774	5054	AL_Africa-2	8802CAM_1987_800	Cameroon	1987	Canis familiaris	AL_Africa-2	N	0
KT119776	5051	AL_Cosmopolitan_AF1b	8915ZAI_1989_247	Democratic Republic of the Congo	1989	Canis familiaris	Cosmopolitan_Clade	N	0
KT119778	5052	AL_Africa-2	9021TCH_1990_507	Chad	1990	Canis familiaris	AL_Africa-2	N	4285
KT119779	5054	AL_Africa-2	9218TCH_1992_322	Chad	1992	Canis familiaris	AL_Africa-2	N	0
KT119780	5054	AL_Cosmopolitan_AF1b	9228CAF_1992_336	Central African Republic	1992	Canis familiaris	Cosmopolitan_Clade	N	7023
KT119782	5054	AL_Cosmopolitan_AF1a	9236CAM_1992_828	Cameroon	1992	Felis catus	Cosmopolitan_Clade	N	0
KT119784	5052	AL_Africa-2	9502CAM_1995_912	Cameroon	1994	Canis familiaris	AL_Africa-2	N	0
KT119785	5055	AL_Cosmopolitan_AF1a	9608GAB_1996_240	Gabon	1996	Canis familiaris	Cosmopolitan_Clade	N	5131
KT119792	5054	AL_Cosmopolitan_AF1a	11025CAM_2010_871	Cameroon	2009	Canis familiaris	Cosmopolitan_Clade	N	5203
KM594028	11881	AL_Bats_EFu	IP 346/10	Brazil	2010	Eptesicus furinalis	Bat_Clade	WGS	4148
KM594037	11879	AL_Bats_TB2	IP 3176/09	Brazil	2009	Tadarida brasiliensis	Bat_Clade	WGS	4170
KT728348	11873	AL_Cosmopolitan_CA1	Rus(Astrakhan)_8329H_2003	Russia	2003	Homo sapiens	Cosmopolitan_Clade	WGS	0
KR534223	405	AL_Cosmopolitan_AF1b	RV2497	Tanzania	2007	Canis familiaris	Cosmopolitan_Clade	N	6632
KR534225	405	AL_Cosmopolitan_AF1b	RV2769	Tanzania	2010	Canis familiaris	Cosmopolitan_Clade	N	6736
KR534227	405	AL_Cosmopolitan_AF1b	RV2787	Tanzania	2010	Canis familiaris	Cosmopolitan_Clade	N	0
KR534234	11923	AL_Cosmopolitan_AF1b	RV2795	Tanzania	2011	Bos taurus	Cosmopolitan_Clade	WGS	0
KR534254	11923	AL_Cosmopolitan_AF1b	RV2906	Tanzania	2011	Felis catus	Cosmopolitan_Clade	WGS	6810
KR534262	405	AL_Cosmopolitan_AF1b	RV2916	Tanzania	2011	unknown	Cosmopolitan_Clade	N	0
KR080521	1353	AL_Africa-2	252NigeriaMinna2012	Nigeria	2012	Canis familiaris	AL_Africa-2	N	0
KR080523	1353	AL_Africa-2	471NigeriaSuleja2012	Nigeria	2012	Canis familiaris	AL_Africa-2	N	4396
KT336434	11923	AL_Cosmopolitan_AF1b	21057	Zimbabwe	1992	Canis lupus familiaris	Cosmopolitan_Clade	WGS	0
KT336435	11923	AL_Cosmopolitan_AF1b	21467	Zimbabwe	1993	Canis lupus familiaris	Cosmopolitan_Clade	WGS	0
KT336437	11923	AL_Cosmopolitan_AF1b	34312	South Africa	2012	Canis lupus familiaris	Cosmopolitan_Clade	WGS	0
KJ133660	536	AL_Cosmopolitan_AF1a	RS13-266.1/Goat/2010/Ntoroko	Uganda	2010	Capra hircus	Cosmopolitan_Clade	N	5346
KJ133662	510	AL_Cosmopolitan_AF1b	RS13-266.3/Dog/2012/Kabarole	Uganda	2012	Canis familiaris	Cosmopolitan_Clade	N	6717
KJ133663	534	AL_Cosmopolitan_AF1b	RS13-266.4/Bovine/2010/Moyo	Uganda	2010	Bos taurus	Cosmopolitan_Clade	N	0
KJ133673	546	AL_Cosmopolitan_AF1b	RS13-266.15/Dog/2012/Ntoroko	Uganda	2012	Canis familiaris	Cosmopolitan_Clade	N	6701
KJ133674	543	AL_Cosmopolitan_AF1b	RS13-266.18/Bovine/2012/Namayingo	Uganda	2012	Bos taurus	Cosmopolitan_Clade	N	6885
KJ133687	552	AL_Cosmopolitan_AF1b	RS13-266.35/Bovine/2012/Kabale	Uganda	2012	Bos taurus	Cosmopolitan_Clade	N	0
KP345881	1353	AL_Africa-2	14009FRA	France	2014	Homo sapiens	AL_Africa-2	N	0
LC029890	1487	AL_Cosmopolitan_AF1b	UGdg14	Uganda	2011	Canis familiaris	Cosmopolitan_Clade	N	6522
KJ744310	640	AL_Cosmopolitan_AF1b	11_217	South Africa	2011	Canis familiaris	Cosmopolitan_Clade	N	7815
KF022180	1350	AL_Africa-2	103N/2005	Nigeria	2005	Canis familiaris	AL_Africa-2	N	4372
KF022186	1350	AL_Africa-2	161N/2005	Nigeria	2005	Canis familiaris	AL_Africa-2	N	0
KF022188	1350	AL_Africa-2	175N/2005	Nigeria	2005	Canis familiaris	AL_Africa-2	N	4380
KF620487	11923	AL_Asian_SEA5	R2012-26	Taiwan	2012	ferret badger	Asian_Clade	WGS	4201
KF734681	566	AL_Africa-2	CAR_12/005	Central African Republic	2012	Canis familiaris	AL_Africa-2	N	4576
KF734690	566	AL_Cosmopolitan_AF1b	CAR_12/022	Central African Republic	2012	Canis familiaris	Cosmopolitan_Clade	N	0
KF734738	566	AL_Africa-2	CAR_12/024	Central African Republic	2012	Canis familiaris	AL_Africa-2	N	0
KC660180	818	AL_Cosmopolitan_AF1b	10/517	South Africa	2010	Canis lupus familiaris	Cosmopolitan_Clade	G	0
KC660206	880	AL_Cosmopolitan_AF1b	11/209	South Africa	2011	Bos primigenius	Cosmopolitan_Clade	G	7887
KC660258	863	AL_Cosmopolitan_AF1b	10/579	South Africa	2010	Canis lupus familiaris	Cosmopolitan_Clade	G	7881
KC660339	888	AL_Cosmopolitan_AF1b	11/67	South Africa	2011	Canis lupus familiaris	Cosmopolitan_Clade	G	0
KC660348	843	AL_Cosmopolitan_AF1b	10/479	South Africa	2010	Canis lupus familiaris	Cosmopolitan_Clade	G	7718
KC660351	860	AL_Cosmopolitan_AF1b	10/229	South Africa	2010	Canis lupus familiaris	Cosmopolitan_Clade	G	7901
KF831529	220	AL_Cosmopolitan_AF1b	ZIMBJACKAL	Zimbabwe	1990	jackal	Cosmopolitan_Clade	N	7216
KC660159	700	AL_Cosmopolitan_AF1b	SPU134/12	South Africa	2012	Homo sapiens	Cosmopolitan_Clade	G	0
KC876039	572	AL_Africa-2	12RS1924-2	Nigeria	2011	Capra hircus	AL_Africa-2	N	0
KC737850	11925	AL_Cosmopolitan_AM3a	A11-5300	United States	2011	Homo sapiens	Cosmopolitan_Clade	WGS	0
KC792032	1572	AL_Cosmopolitan_AF1b	A11_6212	Kenya	2011	zebra	Cosmopolitan_Clade	G	0
JQ691419	400	AL_Cosmopolitan_AF1b	20J08	Namibia	2008	Canis mesomelas (Jackal)	Cosmopolitan_Clade	N	6529
JQ691433	400	AL_Cosmopolitan_AF1b	64J08	Namibia	2008	Canis mesomelas (Jackal)	Cosmopolitan_Clade	N	0
JQ691444	400	AL_Cosmopolitan_AF1b	147K09	Namibia	2009	Tragelaphus strepsiceros (Kudu)	Cosmopolitan_Clade	N	7440
JQ691446	400	AL_Cosmopolitan_AF1b	152K09	Namibia	2009	Tragelaphus strepsiceros (Kudu)	Cosmopolitan_Clade	N	7460
JQ691458	400	AL_Cosmopolitan_AF1b	204J09	Namibia	2009	Canis mesomelas (Jackal)	Cosmopolitan_Clade	N	7506
KC595280	11796	AL_Cosmopolitan_CA1	Rus(Lipetsk)8052f_2011	Russia	2011	Vulpes vulpes	Cosmopolitan_Clade	WGS	0
KC171644	11928	AL_Arctic_AL2	BD0406CC	South Korea	2004	Canis familiaris	Arctic_Clade	WGS	0
JQ756137	592	AL_Cosmopolitan_AF1b	1000-10	South Africa	2010	Canis familiaris	Cosmopolitan_Clade	G	0
HQ266607	609	AL_Cosmopolitan_AF1b	567/04	South Africa	2004	Canis familiaris	Cosmopolitan_Clade	M	0
HQ266608	609	AL_Cosmopolitan_AF1b	31/05	South Africa	2005	Vulpes vulpes	Cosmopolitan_Clade	M	7777
HQ266609	609	AL_Cosmopolitan_AF1b	262/06	South Africa	2006	Canis familiaris	Cosmopolitan_Clade	M	0
HQ266610	609	AL_Cosmopolitan_AF1b	479/96	South Africa	1996	Canis familiaris	Cosmopolitan_Clade	M	0
HQ266611	609	AL_Cosmopolitan_AF1b	819/05	South Africa	2005	black-backed jackal	Cosmopolitan_Clade	M	0
HQ266615	609	AL_Africa-3	22107	South Africa	1994	Galerella sanguinea	AL_Africa-3	M	0
HQ266616	609	AL_Africa-3	669/90	South Africa	1990	Cynictis penicillata	AL_Africa-3	M	4930
HQ266619	1575	AL_Cosmopolitan_AF1b	31/05	South Africa	2005	Vulpes vulpes	Cosmopolitan_Clade	G	0
HQ266621	1575	AL_Cosmopolitan_AF1b	479/96	South Africa	1996	Canis familiaris	Cosmopolitan_Clade	G	0
HQ266625	894	AL_Cosmopolitan_AF1b	479/96	South Africa	1996	Canis familiaris	Cosmopolitan_Clade	P	0
HQ266628	894	AL_Cosmopolitan_AF1b	262/06	South Africa	2006	Canis familiaris	Cosmopolitan_Clade	P	0
HQ266629	894	AL_Cosmopolitan_AF1b	819/05	South Africa	2005	black-backed jackal	Cosmopolitan_Clade	P	0
HQ266633	894	AL_Africa-3	22107	Zimbabwe	1994	Galerella sanguinea	AL_Africa-3	P	0
JX088728	1353	AL_Africa-3	28-06	South Africa	2006	Bos taurus	AL_Africa-3	N	5009
JX088731	1353	AL_Africa-3	416-07	South Africa	2007	Galerella sanguinea	AL_Africa-3	N	4945
JX088736	594	AL_Africa-3	416-07	South Africa	2007	Galerella sanguinea	AL_Africa-3	G	4960
KC196743	11923	AL_Africa-2	DRV-NG11	Nigeria	2011	Canis familiaris	AL_Africa-2	WGS	4431
JX473839	11923	AL_Cosmopolitan_AF1b	192J09	Namibia	2009	jackal	Cosmopolitan_Clade	WGS	7425
JX473841	11923	AL_Cosmopolitan_AF1b	240K09	Namibia	2009	Tragelaphus strepsiceros (Namibian kudu)	Cosmopolitan_Clade	WGS	7437
JQ944708	11914	AL_Cosmopolitan_CA3	1564NNO	Russia	2008	Vulpes vulpes	Cosmopolitan_Clade	WGS	0
JQ685894	11923	AL_Cosmopolitan_AM4	CA982	United States	1994	Mephitis mephitis	Cosmopolitan_Clade	WGS	5068
JQ685896	11821	AL_Bats_EF-W1	2402	United States	2009	Vulpes vulpes	Bat_Clade	WGS	4160
JQ685899	11930	AL_Cosmopolitan_AM2b	A10-0515	United States	2009	Vulpes vulpes	Cosmopolitan_Clade	WGS	5073
JQ685915	11924	AL_Bats_LI	TX4904	United States	2002	Lasiurus intermedius	Bat_Clade	WGS	4173
JQ685944	11925	AL_Cosmopolitan_AM1	NC839	United States	1984	Mephitis mephitis	Cosmopolitan_Clade	WGS	0
JQ685971	11924	AL_Bats_AP	AZ3003	United States	2009	Antrozous pallidus	Bat_Clade	WGS	4150
HM179504	1353	AL_Cosmopolitan_AF1b	262/06	South Africa	2006	Canis familiaris	Cosmopolitan_Clade	N	0
HM179505	1353	AL_Cosmopolitan_AF1b	567/04	South Africa	2004	Canis familiaris	Cosmopolitan_Clade	N	0
HM179508	1353	AL_Cosmopolitan_AF1b	31/05	South Africa	2005	Otocyon megalotis	Cosmopolitan_Clade	N	0
JF327498	592	AL_Cosmopolitan_AF1b	83/09	South Africa	2009	Canis familiaris	Cosmopolitan_Clade	G	0
JF327499	592	AL_Cosmopolitan_AF1b	491/91	South Africa	1991	Canis familiaris	Cosmopolitan_Clade	G	0
JF327503	595	AL_Cosmopolitan_AF1b	588/07	South Africa	2007	Canis familiaris	Cosmopolitan_Clade	G	6886
JF747614	648	AL_Cosmopolitan_AF1b	UPV130	South Africa	2008	Canis familiaris	Cosmopolitan_Clade	N	0
EU851120	1353	AL_Cosmopolitan_AF1a		Spain	1995	Felis catus	Cosmopolitan_Clade	N	0
EU851121	1353	AL_Cosmopolitan_AF1a		Spain	1995	Canis familiaris	Cosmopolitan_Clade	N	0
EU851122	1353	AL_Cosmopolitan_AF1a		Spain	1993	Canis familiaris	Cosmopolitan_Clade	N	0
EU851123	1353	AL_Cosmopolitan_AF1a		Spain	1993	Canis familiaris	Cosmopolitan_Clade	N	0
EU851124	1353	AL_Cosmopolitan_AF1a		Spain	1997	Equus caballus	Cosmopolitan_Clade	N	0
EU851126	1353	AL_Cosmopolitan_AF1a		Spain	1997	Canis familiaris	Cosmopolitan_Clade	N	6214
EU851128	1353	AL_Cosmopolitan_AF1a		Spain	1996	Canis familiaris	Cosmopolitan_Clade	N	0
EU851129	1353	AL_Cosmopolitan_AF1a		Spain	1985	Canis familiaris	Cosmopolitan_Clade	N	5956
AB618032	11248	AL_Bats		Brazil	2006	Molossus molossus	Bat_Clade	WGS	4157
AB635373	11926	AL_Indian-Sub		Sri Lanka	2009	Paradoxurus zeylonensis	AL_Indian-Sub	WGS	0
HM368091	405	AL_Africa-2	G10N_2008	Ghana	2008	Canis familiaris	AL_Africa-2	N	4561
HM368094	405	AL_Cosmopolitan_AF1b	G13N_2008	Ghana	2008	Canis familiaris	Cosmopolitan_Clade	N	0
HM368142	405	AL_Africa-2	G6N_2008	Ghana	2008	Canis familiaris	AL_Africa-2	N	0
HM368143	405	AL_Cosmopolitan_AF1a	G70N_2008	Ghana	2008	Canis familiaris	Cosmopolitan_Clade	N	5139
HM368146	405	AL_Africa-2	G74N_2008	Ghana	2008	Canis familiaris	AL_Africa-2	N	4638
AB572955	461	AL_Cosmopolitan_AF1b		Zambia	2007	Canis lupus familiaris	Cosmopolitan_Clade	N	6934
AB572965	609	AL_Cosmopolitan_AF1b		Zambia	2001	Canis lupus familiaris	Cosmopolitan_Clade	G	7164
AB572967	609	AL_Cosmopolitan_AF1b		Zambia	2009	Canis lupus familiaris	Cosmopolitan_Clade	G	0
AB572969	609	AL_Cosmopolitan_AF1b		Zambia	2005	Canis lupus familiaris	Cosmopolitan_Clade	G	7161
AB572986	609	AL_Cosmopolitan_AF1b		Zambia	2002	Canis lupus familiaris	Cosmopolitan_Clade	G	7170
AB572987	609	AL_Cosmopolitan_AF1b		Zambia	2003	Canis lupus familiaris	Cosmopolitan_Clade	G	0
GU798412	1073	AL_Cosmopolitan_AF1a	9016MAR/1990	Morocco	1990	Homo sapiens	Cosmopolitan_Clade	P	0
GU798426	1073	AL_Cosmopolitan_AF1a	08110MAR/2007	Morocco	2007	Equus	Cosmopolitan_Clade	P	6275
GU798432	1073	AL_Cosmopolitan_AF1a	08188ALG/2008	Algeria	2008	Canis lupus familiaris	Cosmopolitan_Clade	P	6283
GU798435	1073	AL_Cosmopolitan_AF1a	08322MAR/2008	Morocco	2008	Canis lupus familiaris	Cosmopolitan_Clade	P	6280
GU798438	1073	AL_Cosmopolitan_AF1a	08091MAR/2007	Morocco	2007	Canis lupus familiaris	Cosmopolitan_Clade	P	6284
GU798450	1073	AL_Cosmopolitan_AF1a	08015MAR/2007	Morocco	2007	Canis lupus familiaris	Cosmopolitan_Clade	P	6225
GU798502	1073	AL_Cosmopolitan_AF1a	08077MAR/2007	Morocco	2007	Ovis	Cosmopolitan_Clade	P	6295
GU798537	1073	AL_Cosmopolitan_AF1a	08087MAR/2007	Morocco	2007	Canis lupus familiaris	Cosmopolitan_Clade	P	0
GU798538	1073	AL_Cosmopolitan_AF1a	08098MAR/2007	Morocco	2007	Bos	Cosmopolitan_Clade	P	6332
GU798546	1073	AL_Cosmopolitan_AF1a	08081MAR/2007	Morocco	2007	Canis lupus familiaris	Cosmopolitan_Clade	P	5605
GU798554	1073	AL_Cosmopolitan_AF1a	08139ALG/2007	Algeria	2007	Canis lupus familiaris	Cosmopolitan_Clade	P	0
GU798555	1073	AL_Cosmopolitan_AF1a	08064MAR/2007	Morocco	2007	Canis lupus familiaris	Cosmopolitan_Clade	P	5602
GU798557	1073	AL_Cosmopolitan_AF1a	08239ALG/2003	Algeria	2003	Ovis	Cosmopolitan_Clade	P	0
GU798558	1073	AL_Cosmopolitan_AF1a	08067MAR/2007	Morocco	2007	Equus asinus	Cosmopolitan_Clade	P	5600
GU798568	1073	AL_Cosmopolitan_AF1a	08145ALG/2007	Algeria	2007	Bos taurus	Cosmopolitan_Clade	P	5638
GU798600	1073	AL_Cosmopolitan_AF1a	08205ALG/2008	Algeria	2008	Bos taurus	Cosmopolitan_Clade	P	0
GU798624	1073	AL_Cosmopolitan_AF1a	08121ALG/2007	Algeria	2007	Canis lupus familiaris	Cosmopolitan_Clade	P	5810
GU798640	1073	AL_Cosmopolitan_AF1a	08249ALG/2004	Algeria	2004	Canis lupus familiaris	Cosmopolitan_Clade	P	5861
