Accession	Length	Clade	Isolate	loc	Collection_Date	Host	clade_simple	fragment	region23	cluster
KX148103	11922	AL_Cosmopolitan_AF1b	87021AFS	South Africa	1981	Homo sapiens	Cosmopolitan_Clade	WGS	Southern Africa	0
KX148104	11923	AL_Cosmopolitan_YUGCOW	86058YOU	Montenegro	1978	Bos taurus	Cosmopolitan_Clade	WGS	Southern Europe	0
KX148122	11801	AL_Cosmopolitan_CE	92012GER	Germany	1991	Vulpes vulpes	Cosmopolitan_Clade	WGS	Western Europe	4916
KX148127	11801	AL_Cosmopolitan_WE	91047FRA	France	1991	Vulpes vulpes	Cosmopolitan_Clade	WGS	Western Europe	0
KX148129	11801	AL_Cosmopolitan_WE	94091SLN	Slovenia	1994	Vulpes vulpes	Cosmopolitan_Clade	WGS	Southern Europe	0
KX148134	11801	AL_Cosmopolitan_WE	94029FRA	France	1994	Vulpes vulpes	Cosmopolitan_Clade	WGS	Western Europe	0
KX148151	11801	AL_Cosmopolitan_NEE	96042POL	Poland	1996	Vulpes vulpes	Cosmopolitan_Clade	WGS	Eastern Europe	0
KX148161	11801	AL_Cosmopolitan_YUGFOX	86133SER	Serbia	1972	Vulpes vulpes	Cosmopolitan_Clade	WGS	Southern Europe	0
KX148162	11801	AL_Cosmopolitan_ME2	94002TUR	Turkey	1993	Canis familiaris	Cosmopolitan_Clade	WGS	Western Asia	0
KX148192	11802	AL_Cosmopolitan_ME1b	93033ISR	Israel	1993	Canis familiaris	Cosmopolitan_Clade	WGS	Western Asia	0
KX148193	11805	AL_Cosmopolitan_AF1a	08342FRA	Morocco	2008	Canis familiaris	Cosmopolitan_Clade	WGS	Northern Africa	5844
KX148194	11805	AL_Cosmopolitan_AF1a	89017MAR	Morocco	1989	Canis familiaris	Cosmopolitan_Clade	WGS	Northern Africa	5629
KX148195	11804	AL_Cosmopolitan_AF1a	04031FRA	Morocco	2004	Canis familiaris	Cosmopolitan_Clade	WGS	Northern Africa	0
KX148198	11804	AL_Cosmopolitan_AF1a	93128SOM	Somalia	1993	Canis familiaris	Cosmopolitan_Clade	WGS	Eastern Africa	5146
KX148201	11805	AL_Cosmopolitan_AF1a	86003BRE	Nigeria	1986	Canis familiaris	Cosmopolitan_Clade	WGS	Western Africa	0
KX148203	11801	AL_Cosmopolitan_AF1b	86031MOZ	Mozambique	1986	Canis familiaris	Cosmopolitan_Clade	WGS	Eastern Africa	0
KX148204	11800	AL_Cosmopolitan_AF1b	92030NAM	Namibia	1992	Canis familiaris	Cosmopolitan_Clade	WGS	Southern Africa	0
KX148205	11801	AL_Cosmopolitan_AF1b	94289RWA	Rwanda	1994	Canis familiaris	Cosmopolitan_Clade	WGS	Eastern Africa	7627
KX148206	11801	AL_Cosmopolitan_AF1b	96013TAN	Tanzania	1996	Canis familiaris	Cosmopolitan_Clade	WGS	Eastern Africa	0
KX148207	11801	AL_Cosmopolitan_AF1b	14015ITA	Kenya	2014	Homo sapiens	Cosmopolitan_Clade	WGS	Eastern Africa	0
KX148208	11802	AL_Cosmopolitan_AF1b	92029CAR	Central African Republic	1992	Canis familiaris	Cosmopolitan_Clade	WGS	Middle Africa	0
KX148215	11803	AL_Cosmopolitan_AM3a	95022BRE	Brazil	1995	Canis familiaris	Cosmopolitan_Clade	WGS	South America	4828
KX148219	11800	AL_Africa-3	14017BOT	Botswana	2009	honey badger	AL_Africa-3	WGS	Southern Africa	4722
KX148225	11806	AL_Arctic_AL1b	02052AFG	Afghanistan	2002	Canis familiaris	Arctic_Clade	WGS	Southern Asia	4693
KX148229	11801	AL_Africa-2	90012NIG	Niger	1990	Canis familiaris	AL_Africa-2	WGS	Western Africa	0
KX148231	11801	AL_Africa-2	90010NIG	Niger	1990	Canis familiaris	AL_Africa-2	WGS	Western Africa	0
KX148235	11801	AL_Africa-2	01007CI	Côte d'Ivoire	2001	Canis familiaris	AL_Africa-2	WGS	Western Africa	0
KX148236	11802	AL_Africa-2	93011MAU	Mauritania	1993	Canis familiaris	AL_Africa-2	WGS	Western Africa	0
KX148241	11801	AL_Africa-2	96009TCH	Chad	1996	Canis familiaris	AL_Africa-2	WGS	Middle Africa	0
KX148242	11801	AL_Africa-2	95002CAM	Cameroon	1994	Canis familiaris	AL_Africa-2	WGS	Middle Africa	0
KU938829	11900	AL_Cosmopolitan	201203037@2012Puno	Peru	2012	Desmodus rotundus	Cosmopolitan_Clade	WGS	South America	0
KU564993	1353	AL_Africa-2	367	Chad	2013	Canis familiaris	AL_Africa-2	N	Middle Africa	0
KU564995	1353	AL_Africa-2	369	Chad	2013	Canis familiaris	AL_Africa-2	N	Middle Africa	4148
KU055515	211	AL_Cosmopolitan_AF1a	03009MAR	Morocco	2003	Canis familiaris	Cosmopolitan_Clade	L	Northern Africa	5947
KU055517	211	AL_Cosmopolitan_AF1a	04028GAB	Gabon	2004	Felis catus	Cosmopolitan_Clade	L	Middle Africa	0
KU055521	211	AL_Africa-2	07149RCA	Central African Republic	2004	Canis familiaris	AL_Africa-2	L	Middle Africa	0
KU055522	211	AL_Cosmopolitan_AF1b	07158RCA	Central African Republic	2006	Canis familiaris	Cosmopolitan_Clade	L	Middle Africa	7623
KU055524	211	AL_Africa-2	07209SEN	Senegal	2007	Homo sapiens	AL_Africa-2	L	Western Africa	0
KU055525	211	AL_Africa-2	07214MAL	Mali	2007	Canis familiaris	AL_Africa-2	L	Western Africa	0
KU055526	211	AL_Africa-2	07222MAL	Mali	2007	Canis familiaris	AL_Africa-2	L	Western Africa	0
KU055527	211	AL_Africa-2	14010SEN	Senegal	2001	Homo sapiens	AL_Africa-2	L	Western Africa	4459
KU055528	211	AL_Africa-2	14011SEN	Senegal	2004	Felis catus	AL_Africa-2	L	Western Africa	4027
KU055529	211	AL_Africa-2	14012SEN	Senegal	2005	Homo sapiens	AL_Africa-2	L	Western Africa	0
KU055530	211	AL_Africa-2	14013SEN	Senegal	2011	Canis familiaris	AL_Africa-2	L	Western Africa	0
KU055539	211	AL_Africa-2	8660GUI	Guinea	1986	Canis familiaris	AL_Africa-2	L	Western Africa	0
KU055542	211	AL_Africa-2	8718NIG	Niger	1987	Homo sapiens	AL_Africa-2	L	Western Africa	0
KU055546	211	AL_Africa-2	8801CAM	Cameroon	1987	Canis familiaris	AL_Africa-2	L	Middle Africa	4139
KU055550	211	AL_Africa-2	9012NIG	Nigeria	1992	Canis familiaris	AL_Africa-2	L	Western Africa	0
KU055555	211	AL_Africa-2	9131MAU	Mauritania	1991	Canis familiaris	AL_Africa-2	L	Western Africa	0
KU055556	211	AL_Africa-2	9136MAU	Mauritania	1991	Capra hircus	AL_Africa-2	L	Western Africa	0
KU055562	211	AL_Africa-2	9239IC	Côte d'Ivoire	1992	Canis familiaris	AL_Africa-2	L	Western Africa	0
KP976113	548	AL_Africa-2	420/2006	Mali	2006	Canis lupus familiaris	AL_Africa-2	N	Western Africa	0
KP976117	548	AL_Africa-2	003/2009	Mali	2009	Canis lupus familiaris	AL_Africa-2	N	Western Africa	4567
KP976119	548	AL_Africa-2	149/2011	Mali	2011	Canis lupus familiaris	AL_Africa-2	N	Western Africa	4545
KP976121	548	AL_Africa-2	176/2010	Mali	2010	Canis lupus familiaris	AL_Africa-2	N	Western Africa	0
KP976129	548	AL_Africa-2	587/2009	Mali	2009	Canis lupus familiaris	AL_Africa-2	N	Western Africa	4472
KR906737	11920	AL_Cosmopolitan_AF1b	RV2500.1	Tanzania	2008	Canis familiaris	Cosmopolitan_Clade	WGS	Eastern Africa	7737
KR906738	11923	AL_Cosmopolitan_AF1b	RV2501.1	Tanzania	2004	Bos taurus	Cosmopolitan_Clade	WGS	Eastern Africa	0
KR906740	11914	AL_Cosmopolitan_AF1b	RV2503.1	Tanzania	2009	Felis catus	Cosmopolitan_Clade	WGS	Eastern Africa	7678
KR906745	11914	AL_Cosmopolitan_AF1b	RV2773.1	Tanzania	2010	Canis familiaris	Cosmopolitan_Clade	WGS	Eastern Africa	0
KR906748	11923	AL_Cosmopolitan_AF1b	RV2776.1	Tanzania	2010	Canis familiaris	Cosmopolitan_Clade	WGS	Eastern Africa	6088
KR906751	11915	AL_Cosmopolitan_AF1b	RV2780.1	Tanzania	2011	Canis familiaris	Cosmopolitan_Clade	WGS	Eastern Africa	6671
KR906761	11845	AL_Cosmopolitan_AF1b	RV2811.1	Tanzania	2010	Canis familiaris	Cosmopolitan_Clade	WGS	Eastern Africa	0
KR906764	11914	AL_Cosmopolitan_AF1b	RV2815.1	Tanzania	2010	Capra hircus	Cosmopolitan_Clade	WGS	Eastern Africa	7635
KR906766	11914	AL_Cosmopolitan_AF1b	RV2817.1	Tanzania	2010	Canis familiaris	Cosmopolitan_Clade	WGS	Eastern Africa	0
KR906767	11914	AL_Cosmopolitan_AF1b	RV2861.1	Tanzania	2011	Canis familiaris	Cosmopolitan_Clade	WGS	Eastern Africa	7701
KR906769	11923	AL_Cosmopolitan_AF1b	RV2871.1	Tanzania	2011	Canis familiaris	Cosmopolitan_Clade	WGS	Eastern Africa	0
KR906775	11854	AL_Cosmopolitan_AF1b	RV2902.1	Tanzania	2011	unknown	Cosmopolitan_Clade	WGS	Eastern Africa	0
KR906786	11923	AL_Cosmopolitan_AF1b	RV3128.1	Tanzania	2012	Sus scrofa	Cosmopolitan_Clade	WGS	Eastern Africa	0
KR906787	11923	AL_Cosmopolitan_AF1b	RV3131.1	Tanzania	2012	Bos taurus	Cosmopolitan_Clade	WGS	Eastern Africa	0
KR906792	11923	AL_Cosmopolitan_AF1b	RV3123.1	Tanzania	2012	Canis familiaris	Cosmopolitan_Clade	WGS	Eastern Africa	7778
KP994608	540	AL_Cosmopolitan_AF1b	12/696	South Africa	2012	Felis catus	Cosmopolitan_Clade	N	Southern Africa	6892
KP994610	540	AL_Cosmopolitan_AF1b	12/69	South Africa	2010	Felis catus	Cosmopolitan_Clade	N	Southern Africa	6896
KP994612	540	AL_Cosmopolitan_AF1b	13/167	South Africa	2013	Canis familiaris	Cosmopolitan_Clade	N	Southern Africa	6939
KP994618	540	AL_Cosmopolitan_AF1b	08/426	South Africa	2008	Felis catus	Cosmopolitan_Clade	N	Southern Africa	6877
KP994620	540	AL_Cosmopolitan_AF1b	09/353	South Africa	2009	Felis catus	Cosmopolitan_Clade	N	Southern Africa	6976
KU739038	1575	AL_Africa-2	G_139BF-2007	Burkina Faso	2007	Canis familiaris	AL_Africa-2	G	Western Africa	0
KU739039	1575	AL_Africa-2	G_9BF-2007	Burkina Faso	2007	Canis familiaris	AL_Africa-2	G	Western Africa	0
KU739040	1575	AL_Cosmopolitan_AF1b	G_3580BOT-2009	Botswana	2009	Canis familiaris	Cosmopolitan_Clade	G	Southern Africa	0
KU739043	1575	AL_Africa-2	G_251NIG-2007	Niger	2007	Canis familiaris	AL_Africa-2	G	Western Africa	0
KT119658	5052	AL_Africa-2	07155RCA_2005_074	Central African Republic	2005	Canis familiaris	AL_Africa-2	N	Middle Africa	4099
KT119665	5052	AL_Cosmopolitan_AF1b	07160RCA_2007_030	Central African Republic	2007	Canis familiaris	Cosmopolitan_Clade	N	Middle Africa	6193
KT119704	5052	AL_Cosmopolitan_AF1b	10014RCA_2007_907	Central African Republic	2007	Canis familiaris	Cosmopolitan_Clade	N	Middle Africa	6221
KT119753	5052	AL_Cosmopolitan_AF1b	othercity_11032RCA_2011_559	Central African Republic	2011	Canis familiaris	Cosmopolitan_Clade	N	Middle Africa	6191
KT119767	5054	AL_Africa-2	othercity_09057RCA_2009_674	Central African Republic	2009	Canis familiaris	AL_Africa-2	N	Middle Africa	0
KT119771	5054	AL_Cosmopolitan_AF1a	8693GAB_1986_211	Gabon	1986	Canis familiaris	Cosmopolitan_Clade	N	Middle Africa	4927
KT119772	5054	AL_Cosmopolitan_AF1a	8698GAB_1986_392	Gabon	1986	Canis familiaris	Cosmopolitan_Clade	N	Middle Africa	0
KT119774	5054	AL_Africa-2	8802CAM_1987_800	Cameroon	1987	Canis familiaris	AL_Africa-2	N	Middle Africa	0
KT119776	5051	AL_Cosmopolitan_AF1b	8915ZAI_1989_247	Democratic Republic of the Congo	1989	Canis familiaris	Cosmopolitan_Clade	N	Middle Africa	0
KT119778	5052	AL_Africa-2	9021TCH_1990_507	Chad	1990	Canis familiaris	AL_Africa-2	N	Middle Africa	4062
KT119779	5054	AL_Africa-2	9218TCH_1992_322	Chad	1992	Canis familiaris	AL_Africa-2	N	Middle Africa	0
KT119780	5054	AL_Cosmopolitan_AF1b	9228CAF_1992_336	Central African Republic	1992	Canis familiaris	Cosmopolitan_Clade	N	Middle Africa	6175
KT119783	5054	AL_Cosmopolitan_AF1a	9350GAB_1993_679	Gabon	1993	Canis familiaris	Cosmopolitan_Clade	N	Middle Africa	4930
KT119784	5052	AL_Africa-2	9502CAM_1995_912	Cameroon	1994	Canis familiaris	AL_Africa-2	N	Middle Africa	0
KT119785	5055	AL_Cosmopolitan_AF1a	9608GAB_1996_240	Gabon	1996	Canis familiaris	Cosmopolitan_Clade	N	Middle Africa	4935
KT119786	5052	AL_Africa-2	97138TCH_1997_923	Chad	1997	Canis familiaris	AL_Africa-2	N	Middle Africa	0
KM594039	11881	AL_Cosmopolitan_AM3b	IP 7841/09	Brazil	2009	Cerdocyon thous	Cosmopolitan_Clade	WGS	South America	4826
KR534223	405	AL_Cosmopolitan_AF1b	RV2497	Tanzania	2007	Canis familiaris	Cosmopolitan_Clade	N	Eastern Africa	7438
KR534225	405	AL_Cosmopolitan_AF1b	RV2769	Tanzania	2010	Canis familiaris	Cosmopolitan_Clade	N	Eastern Africa	7671
KR534227	405	AL_Cosmopolitan_AF1b	RV2787	Tanzania	2010	Canis familiaris	Cosmopolitan_Clade	N	Eastern Africa	0
KR080521	1353	AL_Africa-2	252NigeriaMinna2012	Nigeria	2012	Canis familiaris	AL_Africa-2	N	Western Africa	0
KR080522	1353	AL_Africa-2	276NigeriaBida2012	Nigeria	2012	Canis familiaris	AL_Africa-2	N	Western Africa	4050
KT336435	11923	AL_Cosmopolitan_AF1b	21467	Zimbabwe	1993	Canis lupus familiaris	Cosmopolitan_Clade	WGS	Eastern Africa	0
KT336437	11923	AL_Cosmopolitan_AF1b	34312	South Africa	2012	Canis lupus familiaris	Cosmopolitan_Clade	WGS	Southern Africa	0
KJ133663	534	AL_Cosmopolitan_AF1b	RS13-266.4/Bovine/2010/Moyo	Uganda	2010	Bos taurus	Cosmopolitan_Clade	N	Eastern Africa	0
KJ133670	548	AL_Cosmopolitan_AF1b	RS13-266.12/Dog/2011/Ntoroko	Uganda	2011	Canis familiaris	Cosmopolitan_Clade	N	Eastern Africa	7644
KJ133672	543	AL_Cosmopolitan_AF1a	RS13-266.14/Dog/2010/Moyo	Uganda	2010	Canis familiaris	Cosmopolitan_Clade	N	Eastern Africa	5112
KJ133676	540	AL_Cosmopolitan_AF1a	RS13-266.20/Dog/2012/Ntoroko	Uganda	2012	Canis familiaris	Cosmopolitan_Clade	N	Eastern Africa	5108
KJ133686	465	AL_Cosmopolitan_AF1b	RS13-266.34/Dog/2013/Moyo	Uganda	2012	Canis familiaris	Cosmopolitan_Clade	N	Eastern Africa	7732
KJ133687	552	AL_Cosmopolitan_AF1b	RS13-266.35/Bovine/2012/Kabale	Uganda	2012	Bos taurus	Cosmopolitan_Clade	N	Eastern Africa	0
KP345881	1353	AL_Africa-2	14009FRA	France	2014	Homo sapiens	AL_Africa-2	N	Western Europe	0
LC029890	1487	AL_Cosmopolitan_AF1b	UGdg14	Uganda	2011	Canis familiaris	Cosmopolitan_Clade	N	Eastern Africa	7575
LC029896	587	AL_Cosmopolitan_AF1b	UGdg24	Uganda	2012	Canis familiaris	Cosmopolitan_Clade	N	Eastern Africa	7661
LC029897	1499	AL_Cosmopolitan_AF1b	UGbv30	Uganda	2012	Felis catus	Cosmopolitan_Clade	N	Eastern Africa	7662
KP257624	548	AL_Cosmopolitan_AF1b	RS14-705.3/Dog/2014/Congo	Democratic Republic of the Congo	2013	Canis lupus familiaris	Cosmopolitan_Clade	N	Middle Africa	6558
KJ744303	648	AL_Cosmopolitan_AF1b	10_387	South Africa	2010	Canis familiaris	Cosmopolitan_Clade	N	Southern Africa	7377
KJ921998	400	AL_Africa-2	EN0442013	Nigeria	2012	Canis familiaris	AL_Africa-2	N	Western Africa	4030
KF022181	1350	AL_Africa-2	109N/2005	Nigeria	2005	Canis familiaris	AL_Africa-2	N	Western Africa	4206
KF022186	1350	AL_Africa-2	161N/2005	Nigeria	2005	Canis familiaris	AL_Africa-2	N	Western Africa	0
KF022189	1350	AL_Africa-2	177N/2005	Nigeria	2005	Canis familiaris	AL_Africa-2	N	Western Africa	4187
KF734688	566	AL_Africa-2	CAR_12/019	Central African Republic	2012	Canis familiaris	AL_Africa-2	N	Middle Africa	4341
KF734696	566	AL_Cosmopolitan_AF1b	CAR_12/033	Central African Republic	2012	Canis familiaris	Cosmopolitan_Clade	N	Middle Africa	6177
KF734738	566	AL_Africa-2	CAR_12/024	Central African Republic	2012	Canis familiaris	AL_Africa-2	N	Middle Africa	0
KC660210	891	AL_Cosmopolitan_AF1b	11/121	South Africa	2011	Canis lupus familiaris	Cosmopolitan_Clade	G	Southern Africa	6966
KC660220	891	AL_Cosmopolitan_AF1b	11/252	South Africa	2011	Bos primigenius	Cosmopolitan_Clade	G	Southern Africa	6986
KC660347	886	AL_Cosmopolitan_AF1b	11/62	South Africa	2011	Canis lupus familiaris	Cosmopolitan_Clade	G	Southern Africa	6831
KF831519	220	AL_Cosmopolitan	TUNIDOG	Tunisia	1986	Canis familiaris	Cosmopolitan_Clade	N	Northern Africa	0
KF831554	543	AL_Cosmopolitan_AF1b	ZIMBJACKAL	Zimbabwe	1990	jackal	Cosmopolitan_Clade	N	Eastern Africa	6323
KC660159	700	AL_Cosmopolitan_AF1b	SPU134/12	South Africa	2012	Homo sapiens	Cosmopolitan_Clade	G	Southern Africa	6916
KC787073	708	AL_Cosmopolitan_AF1c	86009MAD_1985	Madagascar	1985	Canis familiaris	Cosmopolitan_Clade	N	Eastern Africa	6034
KC876039	572	AL_Africa-2	12RS1924-2	Nigeria	2011	Capra hircus	AL_Africa-2	N	Western Africa	0
KF155000	11923	AL_Cosmopolitan_CA2	RV2516	Iraq	2010	Bos taurus	Cosmopolitan_Clade	WGS	Western Asia	0
KC737850	11925	AL_Cosmopolitan_AM3a	A11-5300	United States	2011	Homo sapiens	Cosmopolitan_Clade	WGS	Northern America	0
KC792032	1572	AL_Cosmopolitan_AF1b	A11_6212	Kenya	2011	zebra	Cosmopolitan_Clade	G	Eastern Africa	0
JQ691418	400	AL_Cosmopolitan_AF1b	19K08	Namibia	2008	Tragelaphus strepsiceros (Kudu)	Cosmopolitan_Clade	N	Southern Africa	6627
JQ691433	400	AL_Cosmopolitan_AF1b	64J08	Namibia	2008	Canis mesomelas (Jackal)	Cosmopolitan_Clade	N	Southern Africa	0
JQ691450	400	AL_Cosmopolitan_AF1b	178J09	Namibia	2009	Canis mesomelas (Jackal)	Cosmopolitan_Clade	N	Southern Africa	6594
JQ691453	400	AL_Cosmopolitan_AF1b	191K09	Namibia	2009	Tragelaphus strepsiceros (Kudu)	Cosmopolitan_Clade	N	Southern Africa	6623
JQ691463	400	AL_Cosmopolitan_AF1b	244K09	Namibia	2009	Tragelaphus strepsiceros (Kudu)	Cosmopolitan_Clade	N	Southern Africa	6607
KC171645	11928	AL_Arctic_AL2	BV9901PJ	South Korea	1999	Canis familiaris	Arctic_Clade	WGS	Eastern Asia	0
JQ756137	592	AL_Cosmopolitan_AF1b	1000-10	South Africa	2010	Canis familiaris	Cosmopolitan_Clade	G	Southern Africa	0
HQ266607	609	AL_Cosmopolitan_AF1b	567/04	South Africa	2004	Canis familiaris	Cosmopolitan_Clade	M	Southern Africa	0
HQ266608	609	AL_Cosmopolitan_AF1b	31/05	South Africa	2005	Vulpes vulpes	Cosmopolitan_Clade	M	Southern Africa	0
HQ266609	609	AL_Cosmopolitan_AF1b	262/06	South Africa	2006	Canis familiaris	Cosmopolitan_Clade	M	Southern Africa	0
HQ266611	609	AL_Cosmopolitan_AF1b	819/05	South Africa	2005	black-backed jackal	Cosmopolitan_Clade	M	Southern Africa	6514
HQ266613	609	AL_MASTER	113/91	South Africa	1991	Atilax paludinosus	AL_MASTER	M	Southern Africa	0
HQ266615	609	AL_Africa-3	22107	South Africa	1994	Galerella sanguinea	AL_Africa-3	M	Southern Africa	0
HQ266620	1575	AL_Cosmopolitan_AF1b	262/06	South Africa	2006	Canis familiaris	Cosmopolitan_Clade	G	Southern Africa	6708
HQ266621	1575	AL_Cosmopolitan_AF1b	479/96	South Africa	1996	Canis familiaris	Cosmopolitan_Clade	G	Southern Africa	6311
HQ266625	894	AL_Cosmopolitan_AF1b	479/96	South Africa	1996	Canis familiaris	Cosmopolitan_Clade	P	Southern Africa	6314
HQ266626	894	AL_Cosmopolitan_AF1b	567/04	South Africa	2004	Canis familiaris	Cosmopolitan_Clade	P	Southern Africa	0
HQ266627	894	AL_Cosmopolitan_AF1b	31/05	South Africa	2005	Vulpes vulpes	Cosmopolitan_Clade	P	Southern Africa	0
HQ266628	894	AL_Cosmopolitan_AF1b	262/06	South Africa	2006	Canis familiaris	Cosmopolitan_Clade	P	Southern Africa	0
HQ266631	894	AL_MASTER	113/91	South Africa	1991	Atilax paludinosus	AL_MASTER	P	Southern Africa	0
HQ266633	894	AL_Africa-3	22107	Zimbabwe	1994	Galerella sanguinea	AL_Africa-3	P	Eastern Africa	0
JN162077	593	AL_Africa-3	956-06	South Africa	2006	25685866	AL_Africa-3	G	Southern Africa	4726
KC196743	11923	AL_Africa-2	DRV-NG11	Nigeria	2011	Canis familiaris	AL_Africa-2	WGS	Western Africa	0
JX473841	11923	AL_Cosmopolitan_AF1b	240K09	Namibia	2009	Tragelaphus strepsiceros (Namibian kudu)	Cosmopolitan_Clade	WGS	Southern Africa	6604
AB699220	11928	AL_Arctic_AL1a		Bangladesh	2010	Capra hircus	Arctic_Clade	WGS	Southern Asia	0
JQ944709	11927	AL_Cosmopolitan	EPHVAC	Ethiopia	2008	-	Cosmopolitan_Clade	WGS	Eastern Africa	0
JQ685943	11925	AL_Cosmopolitan_AM2b	A10-0511	United States	2009	Vulpes vulpes	Cosmopolitan_Clade	WGS	Northern America	4840
JQ685944	11925	AL_Cosmopolitan_AM1	NC839	United States	1984	Mephitis mephitis	Cosmopolitan_Clade	WGS	Northern America	4880
JQ685970	11923	AL_Cosmopolitan_AM4	CASK2	United States	1974	Mephitis mephitis	Cosmopolitan_Clade	WGS	Northern America	4833
JQ685975	11925	AL_Cosmopolitan_Vac2	MEXSK3636	Mexico	2009	Spilogale putorius	Cosmopolitan_Clade	WGS	Central America	4842
HM179504	1353	AL_Cosmopolitan_AF1b	262/06	South Africa	2006	Canis familiaris	Cosmopolitan_Clade	N	Southern Africa	0
HM179505	1353	AL_Cosmopolitan_AF1b	567/04	South Africa	2004	Canis familiaris	Cosmopolitan_Clade	N	Southern Africa	0
HM179506	1353	AL_Cosmopolitan_AF1b	479/96	South Africa	1996	Canis familiaris	Cosmopolitan_Clade	N	Southern Africa	6322
JF327498	592	AL_Cosmopolitan_AF1b	83/09	South Africa	2009	Canis familiaris	Cosmopolitan_Clade	G	Southern Africa	0
JF327499	592	AL_Cosmopolitan_AF1b	491/91	South Africa	1991	Canis familiaris	Cosmopolitan_Clade	G	Southern Africa	0
JF747614	648	AL_Cosmopolitan_AF1b	UPV130	South Africa	2008	Canis familiaris	Cosmopolitan_Clade	N	Southern Africa	0
EU851120	1353	AL_Cosmopolitan_AF1a		Spain	1995	Felis catus	Cosmopolitan_Clade	N	Southern Europe	5848
EU851122	1353	AL_Cosmopolitan_AF1a		Spain	1993	Canis familiaris	Cosmopolitan_Clade	N	Southern Europe	5842
EU851123	1353	AL_Cosmopolitan_AF1a		Spain	1993	Canis familiaris	Cosmopolitan_Clade	N	Southern Europe	0
EU851124	1353	AL_Cosmopolitan_AF1a		Spain	1997	Equus caballus	Cosmopolitan_Clade	N	Southern Europe	0
EU851125	1353	AL_Cosmopolitan_AF1a		Spain	2002	Canis familiaris	Cosmopolitan_Clade	N	Southern Europe	0
EU851126	1353	AL_Cosmopolitan_AF1a		Spain	1997	Canis familiaris	Cosmopolitan_Clade	N	Southern Europe	0
EU851127	1353	AL_Cosmopolitan_AF1a		Spain	1990	Canis familiaris	Cosmopolitan_Clade	N	Southern Europe	5627
EU851128	1353	AL_Cosmopolitan_AF1a		Spain	1996	Canis familiaris	Cosmopolitan_Clade	N	Southern Europe	0
HM368093	405	AL_Africa-2	G12N_2008	Ghana	2008	Canis familiaris	AL_Africa-2	N	Western Africa	4010
HM368094	405	AL_Cosmopolitan_AF1b	G13N_2008	Ghana	2008	Canis familiaris	Cosmopolitan_Clade	N	Western Africa	0
HM368121	405	AL_MASTER	G48N_2008	Ghana	2008	Canis familiaris	AL_MASTER	N	Western Africa	0
HM368125	405	AL_Africa-2	G51N_2008	Ghana	2008	Canis familiaris	AL_Africa-2	N	Western Africa	4446
HM368137	405	AL_Cosmopolitan_AF1a	G64N_2008	Ghana	2008	Canis familiaris	Cosmopolitan_Clade	N	Western Africa	4941
HM368142	405	AL_Africa-2	G6N_2008	Ghana	2008	Canis familiaris	AL_Africa-2	N	Western Africa	0
GU808521	592	AL_Cosmopolitan_AF1b	d129/07	South Africa	2007	Canis familiaris	Cosmopolitan_Clade	G	Southern Africa	6713
AB572934	461	AL_Cosmopolitan_AF1b		Zambia	2000	Canis lupus familiaris	Cosmopolitan_Clade	N	Eastern Africa	6109
AB572953	461	AL_Cosmopolitan_AF1b		Zambia	2008	Canis lupus familiaris	Cosmopolitan_Clade	N	Eastern Africa	6124
AB572962	609	AL_Cosmopolitan_AF1b		Zambia	2008	Bos taurus	Cosmopolitan_Clade	G	Eastern Africa	7587
AB572963	609	AL_Cosmopolitan_AF1b		Zambia	2008	Bos taurus	Cosmopolitan_Clade	G	Eastern Africa	7569
AB572980	609	AL_Cosmopolitan_AF1b		Zambia	2007	Canis lupus familiaris	Cosmopolitan_Clade	G	Eastern Africa	7578
GU798393	1073	AL_Cosmopolitan_AF1a	86131TUN/1986	Tunisia	1986	Homo sapiens	Cosmopolitan_Clade	P	Northern Africa	5067
GU798396	1073	AL_Cosmopolitan_AF1a	08228ALG/2002	Algeria	2002	Ovis	Cosmopolitan_Clade	P	Northern Africa	0
GU798424	1073	AL_Cosmopolitan_AF1a	08105MAR/2007	Morocco	2007	Canis lupus familiaris	Cosmopolitan_Clade	P	Northern Africa	5684
GU798431	1073	AL_Cosmopolitan_AF1a	08201ALG/2008	Algeria	2008	Canis lupus familiaris	Cosmopolitan_Clade	P	Northern Africa	5692
GU798434	1073	AL_Cosmopolitan_AF1a	08330MAR/2008	Morocco	2008	Canis lupus familiaris	Cosmopolitan_Clade	P	Northern Africa	5689
GU798436	1073	AL_Cosmopolitan_AF1a	08024MAR/2007	Morocco	2007	Ovis	Cosmopolitan_Clade	P	Northern Africa	5693
GU798449	1073	AL_Cosmopolitan_AF1a	08020MAR/2007	Morocco	2007	Equus asinus	Cosmopolitan_Clade	P	Northern Africa	5646
GU798477	1073	AL_Cosmopolitan_AF1a	08033MAR/2007	Morocco	2007	Canis lupus familiaris	Cosmopolitan_Clade	P	Northern Africa	5632
GU798518	1073	AL_Cosmopolitan_AF1a	9107MAR/1990	Morocco	1990	Homo sapiens	Cosmopolitan_Clade	P	Northern Africa	0
GU798520	1073	AL_Cosmopolitan_AF1a	08317MAR/2008	Morocco	2008	Canis lupus familiaris	Cosmopolitan_Clade	P	Northern Africa	5858
GU798525	1073	AL_Cosmopolitan_AF1a	08038MAR/2007	Morocco	2007	Bos	Cosmopolitan_Clade	P	Northern Africa	5704
